payment_id,booking_id,payment_date,amount_cents,payment_method,payment_status
P00001878,B00001713,2024-12-21,153600,Debit Card,settled
P00001879,B00001713,2025-01-29,-153600,Bank Transfer,refunded
P00001880,B00001714,2026-03-11,1054200,Debit Card,settled
P00001881,B00001715,2024-04-04,334500,Credit Card,settled
P00001882,B00001715,2024-05-03,-48879,Debit Card,refunded
P00001883,B00001716,2024-06-13,204000,Debit Card,settled
P00001884,B00001717,2024-05-30,182600,Points,settled
P00001885,B00001718,2024-04-17,345600,Debit Card,settled
P00001886,B00001719,2025-04-29,69200,Bank Transfer,settled
P00001887,B00001720,2025-06-19,844800,Points,settled
P00001888,B00001721,2025-06-10,989800,Points,settled
P00001889,B00001721,2025-07-27,-989800,Bank Transfer,refunded
P00001890,B00001722,2024-08-14,116900,Credit Card,settled
P00001891,B00001724,2025-05-27,188000,Points,settled
P00001892,B00001725,2025-06-11,114000,Bank Transfer,settled
P00001893,B00001726,2024-10-22,252200,Credit Card,settled
P00001894,B00001727,2025-02-26,260000,Credit Card,settled
P00001895,B00001727,2025-04-20,-53330,Credit Card,refunded
P00001896,B00001728,2026-02-14,48300,Debit Card,settled
P00001897,B00001729,2024-01-07,64600,Points,settled
P00001898,B00001730,2025-04-24,151800,Credit Card,settled
P00001899,B00001731,2024-01-26,1823900,Points,settled
P00001900,B00001732,2026-03-04,145000,Bank Transfer,settled
P00001901,B00001733,2024-11-20,558600,Bank Transfer,settled
P00001902,B00001734,2024-09-11,260700,Points,settled
P00001903,B00001735,2025-05-01,247800,Debit Card,settled
P00001904,B00001736,2025-05-24,227700,Bank Transfer,settled
P00001905,B00001737,2025-06-12,76200,Debit Card,settled
P00001906,B00001738,2025-05-22,241200,Credit Card,settled
P00001907,B00001739,2025-07-15,127400,Credit Card,settled
P00001908,B00001740,2024-08-27,210040,Credit Card,settled
P00001909,B00001741,2024-12-21,98400,Credit Card,settled
P00001910,B00001741,2025-01-25,-10295,Debit Card,refunded
P00001911,B00001742,2025-09-27,539500,Debit Card,settled
P00001912,B00001743,2024-11-24,88800,Bank Transfer,settled
P00001913,B00001744,2025-05-23,107100,Debit Card,settled
P00001914,B00001745,2024-12-11,34370,Bank Transfer,settled
P00001915,B00001745,2024-12-03,45130,Credit Card,pending
P00001916,B00001746,2025-02-02,212300,Credit Card,settled
P00001917,B00001747,2024-10-30,220800,Debit Card,settled
P00001918,B00001748,2024-09-29,123200,Points,settled
P00001919,B00001749,2025-05-14,90800,Credit Card,settled
P00001920,B00001750,2024-12-10,249600,Points,settled
P00001921,B00001751,2025-01-15,156000,Credit Card,settled
P00001922,B00001751,2025-02-06,-156000,Debit Card,refunded
P00001923,B00001752,2025-03-10,128400,Bank Transfer,settled
P00001924,B00001753,2025-05-04,165600,Bank Transfer,settled
P00001925,B00001754,2024-09-19,116000,Debit Card,settled
P00001926,B00001754,2024-11-10,-116000,Points,refunded
P00001927,B00001755,2025-03-03,217800,Credit Card,settled
P00001928,B00001756,2025-06-04,249200,Debit Card,settled
P00001929,B00001757,2025-03-26,74800,Bank Transfer,settled
P00001930,B00001758,2025-05-08,122400,Debit Card,settled
P00001931,B00001759,2024-04-25,66600,Credit Card,settled
P00001932,B00001760,2024-02-21,188000,Bank Transfer,settled
P00001933,B00001761,2026-02-26,279200,Credit Card,settled
P00001934,B00001762,2025-11-22,125600,Credit Card,settled
P00001935,B00001763,2024-01-21,67200,Debit Card,settled
P00001936,B00001764,2025-03-14,81800,Points,settled
P00001937,B00001765,2025-06-28,135000,Bank Transfer,settled
P00001938,B00001766,2024-07-14,156700,Credit Card,settled
P00001939,B00001767,2024-11-13,29084,Bank Transfer,settled
P00001940,B00001767,2024-11-27,16816,Bank Transfer,pending
P00001941,B00001768,2025-05-18,152000,Credit Card,settled
P00001942,B00001769,2024-07-19,500500,Points,settled
P00001943,B00001770,2025-06-08,248400,Points,settled
P00001944,B00001771,2024-06-09,467774,Points,settled
P00001945,B00001772,2024-10-06,95200,Bank Transfer,settled
P00001946,B00001773,2025-01-03,42582,Credit Card,settled
P00001947,B00001773,2024-12-20,32618,Points,pending
P00001948,B00001774,2025-10-06,459200,Bank Transfer,settled
P00001949,B00001775,2025-10-27,292600,Credit Card,settled
P00001950,B00001775,2025-11-30,-72963,Points,refunded
P00001951,B00001776,2024-08-28,35200,Credit Card,settled
P00001952,B00001776,2024-10-11,-35200,Points,refunded
P00001953,B00001777,2025-05-17,144000,Credit Card,settled
P00001954,B00001778,2025-05-29,443000,Points,settled
P00001955,B00001779,2024-05-08,142400,Credit Card,settled
P00001956,B00001779,2024-06-10,-24377,Points,refunded
P00001957,B00001780,2026-02-02,376600,Bank Transfer,settled
P00001958,B00001781,2025-02-17,121100,Debit Card,settled
P00001959,B00001781,2025-04-07,-121100,Credit Card,refunded
P00001960,B00001782,2024-07-25,51200,Debit Card,settled
P00001961,B00001783,2024-11-29,282000,Bank Transfer,settled
P00001962,B00001784,2025-02-03,339000,Bank Transfer,settled
P00001963,B00001785,2024-11-07,538981,Debit Card,settled
P00001964,B00001785,2024-11-03,135019,Bank Transfer,pending
P00001965,B00001786,2024-09-30,254800,Points,settled
P00001966,B00001786,2024-11-11,-254800,Debit Card,refunded
P00001967,B00001787,2024-09-20,52000,Bank Transfer,settled
P00001968,B00001788,2024-10-25,75200,Points,settled
P00001969,B00001789,2024-04-19,177000,Bank Transfer,settled
P00001970,B00001790,2025-12-06,113400,Points,settled
P00001971,B00001790,2026-01-16,-113400,Credit Card,refunded
P00001972,B00001791,2025-05-09,114100,Credit Card,settled
P00001973,B00001792,2025-11-03,251900,Credit Card,settled
P00001974,B00001793,2025-04-17,269000,Debit Card,settled
P00001975,B00001794,2024-08-22,236500,Points,settled
P00001976,B00001795,2025-07-24,201300,Credit Card,settled
P00001977,B00001796,2025-09-13,204000,Bank Transfer,settled
P00001978,B00001797,2024-08-15,327600,Bank Transfer,settled
P00001979,B00001798,2025-09-19,14000,Debit Card,settled
P00001980,B00001799,2024-10-15,122500,Credit Card,settled
P00001981,B00001800,2024-05-27,151800,Bank Transfer,settled
P00001982,B00001801,2026-01-30,178200,Points,settled
P00001983,B00001802,2024-03-25,252000,Points,settled
P00001984,B00001803,2024-12-25,146400,Bank Transfer,settled
P00001985,B00001804,2024-01-31,195000,Credit Card,settled
P00001986,B00001805,2024-03-11,161600,Bank Transfer,settled
P00001987,B00001806,2024-11-12,492000,Bank Transfer,settled
P00001988,B00001807,2025-06-17,722400,Bank Transfer,settled
P00001989,B00001808,2024-11-14,214200,Points,settled
P00001990,B00001808,2024-12-10,-214200,Points,refunded
P00001991,B00001809,2024-12-10,333900,Bank Transfer,settled
P00001992,B00001810,2025-12-25,105000,Bank Transfer,settled
P00001993,B00001811,2025-04-02,609000,Debit Card,settled
P00001994,B00001812,2026-02-05,182000,Bank Transfer,settled
P00001995,B00001813,2026-02-20,300300,Debit Card,settled
P00001996,B00001813,2026-03-20,-34314,Bank Transfer,refunded
P00001997,B00001814,2024-04-24,139300,Debit Card,settled
P00001998,B00001815,2024-12-11,185900,Debit Card,settled
P00001999,B00001816,2025-07-21,252200,Points,settled
P00002000,B00001817,2024-10-08,198000,Credit Card,settled
P00002001,B00001818,2025-02-24,179300,Credit Card,settled
P00002002,B00001818,2025-04-07,-179300,Bank Transfer,refunded
P00002003,B00001819,2025-03-09,150700,Points,settled
P00002004,B00001820,2025-03-16,205500,Bank Transfer,settled
P00002005,B00001821,2025-01-12,1117200,Points,settled
P00002006,B00001822,2024-04-19,123200,Credit Card,settled
P00002007,B00001823,2026-01-24,82000,Credit Card,settled
P00002008,B00001824,2025-06-19,171933,Bank Transfer,settled
P00002009,B00001826,2024-05-12,309000,Points,settled
P00002010,B00001827,2025-07-30,443000,Debit Card,settled
P00002011,B00001828,2025-04-07,36000,Points,settled
P00002012,B00001828,2025-04-14,-36000,Bank Transfer,refunded
P00002013,B00001829,2026-02-03,509600,Debit Card,settled
P00002014,B00001830,2024-12-22,118800,Debit Card,settled
P00002015,B00001831,2025-01-16,22800,Credit Card,settled
P00002016,B00001832,2024-05-14,105000,Bank Transfer,settled
P00002017,B00001833,2024-10-29,379000,Credit Card,settled
P00002018,B00001834,2024-11-24,87192,Points,settled
P00002019,B00001834,2024-11-17,42408,Points,pending
P00002020,B00001835,2024-11-09,127800,Points,settled
P00002021,B00001836,2025-01-24,742000,Bank Transfer,settled
P00002022,B00001837,2024-05-23,180000,Points,settled
P00002023,B00001838,2025-03-04,196800,Bank Transfer,settled
P00002024,B00001838,2025-04-13,-196800,Credit Card,refunded
P00002025,B00001839,2024-09-07,89800,Bank Transfer,settled
P00002026,B00001840,2025-03-04,271200,Debit Card,settled
P00002027,B00001841,2024-08-15,239400,Bank Transfer,settled
P00002028,B00001842,2024-07-28,72000,Credit Card,settled
P00002029,B00001843,2025-08-13,388300,Bank Transfer,settled
P00002030,B00001844,2024-09-01,189000,Credit Card,settled
P00002031,B00001844,2024-10-16,-189000,Bank Transfer,refunded
P00002032,B00001845,2024-02-18,146800,Credit Card,settled
P00002033,B00001846,2024-08-15,109500,Debit Card,settled
P00002034,B00001847,2025-03-12,487300,Debit Card,settled
P00002035,B00001848,2024-06-25,20400,Points,settled
P00002036,B00001849,2025-04-05,199200,Bank Transfer,settled
P00002037,B00001850,2025-08-24,36800,Bank Transfer,settled
P00002038,B00001851,2024-04-29,238200,Credit Card,settled
P00002039,B00001852,2025-06-04,271200,Credit Card,settled
P00002040,B00001852,2025-07-08,-271200,Credit Card,refunded
P00002041,B00001853,2025-10-17,63483,Points,settled
P00002042,B00001853,2025-10-03,55917,Debit Card,pending
P00002043,B00001855,2025-10-25,107663,Points,settled
P00002044,B00001855,2025-10-13,27437,Bank Transfer,pending
P00002045,B00001856,2025-07-13,81000,Bank Transfer,settled
P00002046,B00001857,2025-08-17,108500,Bank Transfer,settled
P00002047,B00001858,2024-11-08,478200,Debit Card,settled
P00002048,B00001859,2025-08-16,232400,Points,settled
P00002049,B00001860,2025-04-01,737000,Credit Card,settled
P00002050,B00001860,2025-05-06,-737000,Debit Card,refunded
P00002051,B00001861,2025-07-17,143100,Points,settled
P00002052,B00001862,2025-03-20,201000,Bank Transfer,settled
P00002053,B00001863,2024-08-06,147200,Points,settled
P00002054,B00001865,2025-11-06,213200,Bank Transfer,settled
P00002055,B00001866,2025-04-04,32000,Debit Card,settled
P00002056,B00001867,2024-06-18,28200,Debit Card,settled
P00002057,B00001868,2025-07-20,237900,Points,settled
P00002058,B00001869,2024-10-26,510400,Debit Card,settled
P00002059,B00001869,2024-12-03,-79070,Credit Card,refunded
P00002060,B00001870,2025-06-30,77200,Credit Card,settled
P00002061,B00001871,2025-06-10,12173,Points,settled
P00002062,B00001871,2025-06-01,8327,Points,pending
P00002063,B00001872,2025-06-10,718800,Bank Transfer,settled
P00002064,B00001873,2025-03-27,16000,Debit Card,settled
P00002065,B00001874,2025-01-28,53138,Points,settled
P00002066,B00001875,2024-02-06,170100,Credit Card,settled
P00002067,B00001876,2024-08-01,383900,Credit Card,settled
P00002068,B00001877,2024-08-24,442000,Points,settled
P00002069,B00001878,2025-11-25,15400,Bank Transfer,settled
P00002070,B00001880,2024-04-27,502600,Points,settled
P00002071,B00001881,2024-04-24,97200,Debit Card,settled
P00002072,B00001882,2025-05-12,46200,Bank Transfer,settled
P00002073,B00001883,2025-03-26,373200,Bank Transfer,settled
P00002074,B00001884,2026-02-18,443000,Credit Card,settled
P00002075,B00001885,2025-09-23,68000,Points,settled
P00002076,B00001886,2025-10-11,376200,Bank Transfer,settled
P00002077,B00001887,2025-08-24,14300,Credit Card,settled
P00002078,B00001888,2024-04-14,34600,Credit Card,settled
P00002079,B00001889,2024-11-22,15900,Points,settled
P00002080,B00001889,2024-12-22,-15900,Credit Card,refunded
P00002081,B00001890,2026-01-03,518700,Points,settled
P00002082,B00001891,2025-03-14,117000,Bank Transfer,settled
P00002083,B00001892,2024-07-26,27874,Bank Transfer,settled
P00002084,B00001892,2024-07-09,25326,Points,pending
P00002085,B00001893,2026-04-11,192000,Credit Card,settled
P00002086,B00001894,2025-06-17,222000,Points,settled
P00002087,B00001896,2025-07-13,380062,Bank Transfer,settled
P00002088,B00001897,2025-01-23,37200,Bank Transfer,settled
P00002089,B00001898,2025-12-13,77500,Bank Transfer,settled
P00002090,B00001899,2026-01-14,408100,Bank Transfer,settled
P00002091,B00001899,2026-01-22,451000,Credit Card,pending
P00002092,B00001900,2025-09-14,338400,Points,settled
P00002093,B00001901,2024-05-12,58800,Credit Card,settled
P00002094,B00001902,2024-11-25,62919,Credit Card,settled
P00002095,B00001902,2024-10-26,44181,Points,pending
P00002096,B00001903,2025-08-10,179400,Credit Card,settled
P00002097,B00001904,2024-06-07,95000,Points,settled
P00002098,B00001905,2025-11-28,288400,Credit Card,settled
P00002099,B00001906,2025-01-29,444400,Points,settled
P00002100,B00001907,2025-02-27,1587300,Bank Transfer,settled
P00002101,B00001908,2025-07-04,201021,Debit Card,settled
P00002102,B00001909,2025-01-08,92421,Points,settled
P00002103,B00001909,2024-12-30,132979,Bank Transfer,pending
P00002104,B00001910,2024-08-26,1751100,Credit Card,settled
P00002105,B00001911,2024-05-05,87500,Credit Card,settled
P00002106,B00001912,2024-04-20,144000,Credit Card,settled
P00002107,B00001913,2025-04-18,427200,Points,settled
P00002108,B00001914,2024-06-19,182400,Bank Transfer,settled
P00002109,B00001915,2024-09-10,239200,Credit Card,settled
P00002110,B00001916,2026-01-24,898800,Points,settled
P00002111,B00001917,2024-07-20,339597,Bank Transfer,settled
P00002112,B00001917,2024-07-11,88403,Credit Card,pending
P00002113,B00001918,2024-04-05,234500,Bank Transfer,settled
P00002114,B00001920,2025-06-12,31400,Bank Transfer,settled
P00002115,B00001921,2025-05-09,144900,Bank Transfer,settled
P00002116,B00001922,2025-07-19,199000,Points,settled
P00002117,B00001923,2024-10-28,2030000,Points,settled
P00002118,B00001924,2025-06-02,73125,Debit Card,settled
P00002119,B00001924,2025-06-09,56875,Points,pending
P00002120,B00001925,2024-03-17,376000,Credit Card,settled
P00002121,B00001926,2024-06-30,173200,Bank Transfer,settled
P00002122,B00001927,2026-04-05,46400,Debit Card,settled
P00002123,B00001928,2025-03-01,57600,Credit Card,settled
P00002124,B00001929,2024-02-12,257400,Points,settled
P00002125,B00001929,2024-03-19,-257400,Debit Card,refunded
P00002126,B00001930,2024-01-29,59700,Points,settled
P00002127,B00001931,2025-03-18,19100,Points,settled
P00002128,B00001932,2025-09-03,45140,Points,settled
P00002129,B00001932,2025-09-09,24460,Debit Card,pending
P00002130,B00001933,2025-09-22,148000,Bank Transfer,settled
P00002131,B00001933,2025-11-01,-148000,Bank Transfer,refunded
P00002132,B00001934,2024-06-06,165000,Credit Card,settled
P00002133,B00001935,2025-12-05,45000,Credit Card,settled
P00002134,B00001936,2025-01-18,33400,Bank Transfer,settled
P00002135,B00001937,2025-02-01,193200,Bank Transfer,settled
P00002136,B00001938,2025-02-01,149546,Credit Card,settled
P00002137,B00001939,2024-08-24,134000,Bank Transfer,settled
P00002138,B00001940,2024-07-07,175200,Credit Card,settled
P00002139,B00001941,2025-09-19,152800,Credit Card,settled
P00002140,B00001942,2024-07-18,382800,Bank Transfer,settled
P00002141,B00001944,2024-04-15,289800,Points,settled
P00002142,B00001945,2024-07-14,299500,Points,settled
P00002143,B00001946,2025-08-12,216000,Points,settled
P00002144,B00001947,2025-05-17,221000,Points,settled
P00002145,B00001948,2025-02-07,28222,Debit Card,settled
P00002146,B00001948,2025-02-08,9578,Debit Card,pending
P00002147,B00001949,2025-10-29,61500,Bank Transfer,settled
P00002148,B00001950,2025-06-05,50400,Debit Card,settled
P00002149,B00001951,2024-09-09,170300,Credit Card,settled
P00002150,B00001952,2024-07-22,65800,Bank Transfer,settled
P00002151,B00001953,2025-10-23,211500,Bank Transfer,settled
P00002152,B00001954,2025-10-16,246400,Points,settled
P00002153,B00001955,2025-08-20,248300,Points,settled
P00002154,B00001956,2024-08-11,156000,Points,settled
P00002155,B00001957,2025-05-23,177528,Debit Card,settled
P00002156,B00001958,2024-08-12,397936,Debit Card,settled
P00002157,B00001958,2024-08-17,113264,Debit Card,pending
P00002158,B00001959,2024-11-22,312200,Points,settled
P00002159,B00001959,2024-12-22,-52871,Debit Card,refunded
P00002160,B00001960,2024-07-17,94800,Credit Card,settled
P00002161,B00001961,2024-07-24,66300,Debit Card,settled
P00002162,B00001962,2024-09-24,141000,Credit Card,settled
P00002163,B00001963,2025-01-28,98400,Bank Transfer,settled
P00002164,B00001963,2025-03-07,-98400,Debit Card,refunded
P00002165,B00001964,2024-11-02,27800,Credit Card,settled
P00002166,B00001965,2024-07-05,170000,Bank Transfer,settled
P00002167,B00001965,2024-08-14,-170000,Bank Transfer,refunded
P00002168,B00001966,2025-05-06,268200,Points,settled
P00002169,B00001967,2025-10-18,64000,Bank Transfer,settled
P00002170,B00001968,2024-04-19,527800,Bank Transfer,settled
P00002171,B00001969,2026-02-03,113400,Credit Card,settled
P00002172,B00001970,2024-02-05,17800,Debit Card,settled
P00002173,B00001972,2024-06-14,150300,Credit Card,settled
P00002174,B00001973,2025-02-07,273700,Points,settled
P00002175,B00001974,2025-12-08,92400,Bank Transfer,settled
P00002176,B00001975,2024-11-16,362400,Bank Transfer,settled
P00002177,B00001976,2025-11-21,77600,Points,settled
P00002178,B00001977,2024-06-03,177300,Bank Transfer,settled
P00002179,B00001978,2024-08-18,214400,Credit Card,settled
P00002180,B00001979,2025-01-29,200400,Credit Card,settled
P00002181,B00001980,2026-02-15,178400,Debit Card,settled
P00002182,B00001981,2024-06-26,253400,Credit Card,settled
P00002183,B00001982,2025-12-21,356400,Points,settled
P00002184,B00001983,2024-07-11,172800,Credit Card,settled
P00002185,B00001984,2024-08-04,72000,Points,settled
P00002186,B00001985,2024-12-25,226800,Points,settled
P00002187,B00001986,2025-02-13,60178,Points,settled
P00002188,B00001986,2025-02-19,56722,Points,pending
P00002189,B00001987,2024-05-25,109200,Credit Card,settled
P00002190,B00001988,2024-05-03,401400,Bank Transfer,settled
P00002191,B00001989,2025-09-16,208000,Bank Transfer,settled
P00002192,B00001990,2024-08-28,161500,Debit Card,settled
P00002193,B00001991,2024-11-29,15900,Points,settled
P00002194,B00001992,2024-12-22,29200,Points,settled
P00002195,B00001993,2025-11-09,194400,Points,settled
P00002196,B00001994,2025-06-09,166500,Bank Transfer,settled
P00002197,B00001994,2025-07-16,-166500,Debit Card,refunded
P00002198,B00001995,2025-09-29,47600,Bank Transfer,settled
P00002199,B00001996,2025-10-20,78000,Points,settled
P00002200,B00001997,2025-06-15,68000,Bank Transfer,settled
P00002201,B00001998,2025-05-09,1516900,Debit Card,settled
P00002202,B00001999,2025-11-21,200000,Debit Card,settled
P00002203,B00002000,2024-10-19,165000,Points,settled
P00002204,B00002001,2025-06-30,118800,Points,settled
P00002205,B00002002,2024-08-02,62400,Points,settled
P00002206,B00002003,2025-05-01,206800,Credit Card,settled
P00002207,B00002004,2024-02-02,240218,Bank Transfer,settled
P00002208,B00002005,2024-11-04,13500,Credit Card,settled
P00002209,B00002006,2024-10-17,35800,Points,settled
P00002210,B00002007,2025-12-25,212500,Debit Card,settled
P00002211,B00002007,2026-02-07,-212500,Credit Card,refunded
P00002212,B00002008,2024-09-24,308800,Points,settled
P00002213,B00002009,2025-05-01,277600,Debit Card,settled
P00002214,B00002010,2026-04-13,59100,Bank Transfer,settled
P00002215,B00002010,2026-04-28,-59100,Points,refunded
P00002216,B00002011,2024-09-10,292000,Bank Transfer,settled
P00002217,B00002012,2025-10-19,511200,Bank Transfer,settled
P00002218,B00002013,2024-06-16,56400,Bank Transfer,settled
P00002219,B00002014,2025-09-18,135000,Bank Transfer,settled
P00002220,B00002015,2024-09-12,236500,Bank Transfer,settled
P00002221,B00002015,2024-10-25,-42453,Debit Card,refunded
P00002222,B00002016,2025-12-29,40211,Credit Card,settled
P00002223,B00002018,2024-08-14,39400,Points,settled
P00002224,B00002019,2026-03-01,535803,Bank Transfer,settled
P00002225,B00002020,2026-03-13,468997,Credit Card,settled
P00002226,B00002021,2025-07-20,51600,Credit Card,settled
P00002227,B00002022,2026-01-01,129600,Debit Card,settled
P00002228,B00002023,2025-11-05,32400,Debit Card,settled
P00002229,B00002024,2024-09-09,239049,Bank Transfer,settled
P00002230,B00002024,2024-09-03,242751,Debit Card,pending
P00002231,B00002026,2024-08-18,44600,Credit Card,settled
P00002232,B00002027,2025-01-11,255600,Debit Card,settled
P00002233,B00002028,2024-03-15,109329,Debit Card,settled
P00002234,B00002029,2025-03-03,199200,Debit Card,settled
P00002235,B00002030,2025-10-30,115200,Points,settled
P00002236,B00002030,2025-12-04,-115200,Bank Transfer,refunded
P00002237,B00002031,2024-06-26,213600,Points,settled
P00002238,B00002032,2025-04-11,432800,Debit Card,settled
P00002239,B00002032,2025-05-16,-432800,Credit Card,refunded
P00002240,B00002034,2025-05-24,1048600,Debit Card,settled
P00002241,B00002035,2025-04-02,874900,Points,settled
P00002242,B00002036,2025-09-07,154500,Debit Card,settled
P00002243,B00002037,2025-12-06,219062,Credit Card,settled
P00002244,B00002038,2026-01-12,42000,Debit Card,settled
P00002245,B00002039,2025-12-20,61392,Points,settled
P00002246,B00002039,2025-12-29,32208,Debit Card,pending
P00002247,B00002040,2024-09-07,186300,Points,settled
P00002248,B00002041,2025-12-04,23000,Points,settled
P00002249,B00002042,2025-04-12,34700,Credit Card,settled
P00002250,B00002043,2025-06-03,183600,Credit Card,settled
P00002251,B00002044,2026-02-08,86400,Debit Card,settled
P00002252,B00002045,2025-11-05,22800,Debit Card,settled
P00002253,B00002046,2026-03-29,139215,Credit Card,settled
P00002254,B00002046,2026-03-12,151185,Credit Card,pending
P00002255,B00002047,2024-12-20,398700,Points,settled
P00002256,B00002048,2025-09-14,77980,Credit Card,settled
P00002257,B00002048,2025-09-12,25120,Credit Card,pending
P00002258,B00002049,2024-05-25,1152000,Bank Transfer,settled
P00002259,B00002050,2025-02-13,112000,Credit Card,settled
P00002260,B00002051,2024-07-26,115764,Credit Card,settled
P00002261,B00002051,2024-08-13,102636,Credit Card,pending
P00002262,B00002052,2025-07-23,31600,Debit Card,settled
P00002263,B00002052,2025-08-23,-31600,Points,refunded
P00002264,B00002053,2024-03-07,174600,Debit Card,settled
P00002265,B00002054,2024-06-30,85000,Points,settled
P00002266,B00002055,2024-06-18,748800,Bank Transfer,settled
P00002267,B00002056,2025-12-16,219800,Points,settled
P00002268,B00002057,2025-07-27,191400,Bank Transfer,settled
P00002269,B00002057,2025-08-29,-51664,Points,refunded
P00002270,B00002058,2024-10-03,1807400,Points,settled
P00002271,B00002059,2024-09-19,200200,Debit Card,settled
P00002272,B00002060,2025-07-22,211200,Bank Transfer,settled
P00002273,B00002061,2024-12-16,173800,Bank Transfer,settled
P00002274,B00002062,2024-04-11,1604400,Points,settled
P00002275,B00002063,2026-01-27,62000,Debit Card,settled
P00002276,B00002064,2025-07-14,117000,Bank Transfer,settled
P00002277,B00002065,2024-08-09,1432600,Points,settled
P00002278,B00002066,2024-12-24,164800,Points,settled
P00002279,B00002067,2025-02-27,18000,Debit Card,settled
P00002280,B00002068,2024-09-24,60000,Points,settled
P00002281,B00002069,2025-08-02,218900,Points,settled
P00002282,B00002070,2024-07-11,49800,Bank Transfer,settled
P00002283,B00002071,2026-01-18,189157,Credit Card,settled
P00002284,B00002072,2025-01-13,16400,Debit Card,settled
P00002285,B00002073,2025-10-30,214000,Points,settled
P00002286,B00002075,2024-03-11,712800,Debit Card,settled
P00002287,B00002076,2024-10-06,192000,Credit Card,settled
P00002288,B00002077,2026-03-12,70000,Debit Card,settled
P00002289,B00002078,2025-04-26,57000,Debit Card,settled
P00002290,B00002078,2025-06-04,-57000,Points,refunded
P00002291,B00002080,2024-08-02,117772,Credit Card,settled
P00002292,B00002081,2025-04-17,123300,Credit Card,settled
P00002293,B00002082,2026-03-02,404500,Bank Transfer,settled
P00002294,B00002083,2024-09-25,172000,Credit Card,settled
P00002295,B00002084,2025-07-23,196000,Debit Card,settled
P00002296,B00002085,2025-02-20,25400,Credit Card,settled
P00002297,B00002086,2024-04-15,91200,Credit Card,settled
P00002298,B00002086,2024-05-01,-26802,Points,refunded
P00002299,B00002087,2024-09-20,1430000,Credit Card,settled
P00002300,B00002088,2025-09-21,147971,Credit Card,settled
P00002301,B00002089,2025-01-05,17600,Bank Transfer,settled
P00002302,B00002090,2025-03-24,128800,Bank Transfer,settled
P00002303,B00002090,2025-05-01,-128800,Credit Card,refunded
P00002304,B00002091,2024-04-19,129600,Bank Transfer,settled
P00002305,B00002092,2025-09-06,138000,Credit Card,settled
P00002306,B00002093,2025-04-25,380000,Debit Card,settled
P00002307,B00002094,2025-06-28,110500,Debit Card,settled
P00002308,B00002095,2024-06-02,486200,Credit Card,settled
P00002309,B00002096,2025-12-25,298400,Points,settled
P00002310,B00002097,2025-07-30,80400,Bank Transfer,settled
P00002311,B00002099,2025-12-18,145600,Bank Transfer,settled
P00002312,B00002101,2025-05-02,484400,Credit Card,settled
P00002313,B00002102,2025-08-25,84800,Credit Card,settled
P00002314,B00002105,2024-05-20,484400,Points,settled
P00002315,B00002106,2025-09-02,1047200,Credit Card,settled
P00002316,B00002107,2025-07-06,90726,Points,settled
P00002317,B00002107,2025-07-13,68574,Points,pending
P00002318,B00002108,2025-01-16,368500,Debit Card,settled
P00002319,B00002109,2025-10-17,106500,Bank Transfer,settled
P00002320,B00002110,2024-01-28,133200,Points,settled
P00002321,B00002111,2024-04-01,109900,Points,settled
P00002322,B00002112,2024-11-19,80000,Bank Transfer,settled
P00002323,B00002113,2025-11-25,916500,Bank Transfer,settled
P00002324,B00002114,2024-05-28,271700,Points,settled
P00002325,B00002115,2025-03-06,209400,Debit Card,settled
P00002326,B00002116,2024-05-08,22900,Points,settled
P00002327,B00002117,2025-10-05,126700,Bank Transfer,settled
P00002328,B00002118,2024-03-17,88800,Credit Card,settled
P00002329,B00002119,2024-02-14,218400,Points,settled
P00002330,B00002120,2024-12-06,155200,Points,settled
P00002331,B00002121,2025-03-27,202800,Bank Transfer,settled
P00002332,B00002122,2024-06-23,247500,Credit Card,settled
P00002333,B00002123,2025-03-10,132000,Debit Card,settled
P00002334,B00002124,2025-02-02,91200,Points,settled
P00002335,B00002125,2025-07-03,6928,Bank Transfer,settled
P00002336,B00002125,2025-07-02,9272,Points,pending
P00002337,B00002126,2025-04-09,23900,Points,settled
P00002338,B00002126,2025-04-21,-23900,Debit Card,refunded
P00002339,B00002127,2025-11-28,76000,Points,settled
P00002340,B00002127,2026-01-08,-76000,Debit Card,refunded
P00002341,B00002128,2025-11-30,233800,Bank Transfer,settled
P00002342,B00002129,2024-03-20,1911000,Points,settled
P00002343,B00002131,2024-05-17,271600,Debit Card,settled
P00002344,B00002132,2025-09-07,144800,Points,settled
P00002345,B00002133,2025-02-14,54981,Points,settled
P00002346,B00002133,2025-02-07,48819,Credit Card,pending
P00002347,B00002134,2025-02-05,34800,Debit Card,settled
P00002348,B00002135,2025-08-29,128112,Credit Card,settled
P00002349,B00002135,2025-09-06,70788,Bank Transfer,pending
P00002350,B00002136,2024-05-30,90000,Points,settled
P00002351,B00002137,2024-06-07,21800,Debit Card,settled
P00002352,B00002138,2024-03-16,205200,Bank Transfer,settled
P00002353,B00002139,2024-02-27,391200,Bank Transfer,settled
P00002354,B00002140,2024-04-23,755300,Credit Card,settled
P00002355,B00002141,2024-09-26,201500,Debit Card,settled
P00002356,B00002142,2024-04-03,180800,Credit Card,settled
P00002357,B00002143,2024-07-27,46000,Credit Card,settled
P00002358,B00002144,2024-06-09,63200,Debit Card,settled
P00002359,B00002146,2025-11-29,184000,Points,settled
P00002360,B00002147,2024-05-12,200400,Bank Transfer,settled
